epoch,loss,val_loss
0,0.021426862105727196,0.0070669203996658325
1,0.004687314387410879,0.005627350881695747
2,0.0036604199558496475,0.004533034283667803
3,0.003159015439450741,0.004266531206667423
4,0.00293871876783669,0.0038720008451491594
5,0.0027881015557795763,0.003754472127184272
6,0.002704599406570196,0.003704081755131483
7,0.002573699224740267,0.004307103343307972
8,0.0024971687234938145,0.0041538323275744915
9,0.0024068860802799463,0.003878321498632431
10,0.0023773082066327333,0.004404523875564337
11,0.002277605002745986,0.005327193066477776
12,0.00222482206299901,0.006401175167411566
13,0.0022727586328983307,0.006253199186176062
14,0.002149308566004038,0.006815288215875626
15,0.002078948775306344,0.007119197864085436
16,0.0020327570382505655,0.008259832859039307
0,0.0327480211853981,0.005434256978332996
1,0.00442807050421834,0.005921566393226385
2,0.0036992994137108326,0.0045653837732970715
3,0.0032508636359125376,0.004179573617875576
4,0.0029752396512776613,0.0039401063695549965
5,0.0028792114462703466,0.004023559391498566
6,0.002744321245700121,0.0037256269715726376
7,0.0026771933771669865,0.0037636037450283766
8,0.0026122790295630693,0.004103546030819416
9,0.002529510296881199,0.00402730330824852
10,0.002456175396218896,0.0038393528666347265
11,0.0023618105333298445,0.003784492611885071
12,0.0023288638330996037,0.006208864506334066
13,0.002228029537945986,0.004537476692348719
14,0.027366915717720985,0.008171177469193935
15,0.3371688723564148,0.013002283871173859
16,0.01147088035941124,0.011436069384217262
0,0.03344999626278877,0.009661119431257248
1,0.005522622726857662,0.0058344691060483456
2,0.0043027205392718315,0.0048034838400781155
3,0.003385128453373909,0.00453431298956275
4,0.003078191541135311,0.005268018692731857
5,0.0030088883358985186,0.00512049812823534
6,0.00294122495688498,0.005823622923344374
7,0.002890019677579403,0.006960732396692038
8,0.002783451694995165,0.007223544642329216
9,0.002702023135498166,0.00799088180065155
10,0.0026208439376205206,0.005913684610277414
11,0.0024913011584430933,0.00707451393827796
12,0.002389340428635478,0.0070108044892549515
13,0.0023246374912559986,0.005108014680445194
0,0.01790669932961464,0.006231639999896288
1,0.00449715880677104,0.004656505770981312
2,0.003481427440419793,0.004165846388787031
3,0.003202086314558983,0.004050368908792734
4,0.003143190173432231,0.0046694837510585785
5,0.0030491750221699476,0.003832212183624506
6,0.002962846076115966,0.00459081307053566
7,0.0028582133818417788,0.004338274709880352
8,0.002763918833807111,0.004495956469327211
9,0.0026813882868736982,0.004133983515202999
10,0.0026465277187526226,0.004868464544415474
11,0.0025335324462503195,0.004791853949427605
12,0.0024883518926799297,0.004953778814524412
13,0.006588453892618418,0.010360537096858025
14,0.00851305853575468,0.007847046479582787
15,0.007127923890948296,0.007179589942097664
0,0.013525962829589844,0.005359807517379522
1,0.004293230827897787,0.004607703536748886
2,0.0034504313953220844,0.003961166366934776
3,0.003124319249764085,0.00551063334569335
4,0.003019226947799325,0.004095632117241621
5,0.0029237971175462008,0.004532624501734972
6,0.00284242769703269,0.0054854173213243484
7,0.00273298192769289,0.004139642231166363
8,0.002691505942493677,0.004016953054815531
9,0.0026615725364536047,0.0037446969654411077
10,0.002595587633550167,0.0043545076623559
11,0.002445356920361519,0.004076185170561075
12,0.002409850712865591,0.0037358293775469065
13,0.0023809520062059164,0.003872083267197013
14,0.0022668761666864157,0.003863820107653737
15,0.0022710540797561407,0.004243393428623676
16,0.0021847246680408716,0.004187550395727158
17,0.009194769896566868,0.0065690986812114716
18,0.006571612320840359,0.006144594866782427
19,0.005316026043146849,0.005634876899421215
20,0.004584052134305239,0.005084908567368984
