Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
May 1, 2022;Jun 1, 2022;39,327,062.25;24,116,644.25
Jun 1, 2022;Jul 1, 2022;37,530,887.50;24,484,819.00
Jul 1, 2022;Aug 1, 2022;39,190,704.75;24,083,447.50
Aug 1, 2022;Sep 1, 2022;38,727,140.00;27,100,314.75
Sep 1, 2022;Oct 1, 2022;38,510,602.25;26,053,426.25
Oct 1, 2022;Nov 1, 2022;42,035,691.25;27,511,720.25
Nov 1, 2022;Dec 1, 2022;42,008,732.25;27,396,127.00
Dec 1, 2022;Jan 1, 2023;42,215,672.00;28,957,312.25
Jan 1, 2023;Feb 1, 2023;43,909,764.25;25,698,579.00
Feb 1, 2023;Mar 1, 2023;39,018,264.50;24,791,659.25
Mar 1, 2023;Apr 1, 2023;42,610,993.75;24,159,544.75
Apr 1, 2023;May 1, 2023;37,152,654.75;21,571,454.25
May 1, 2023;Jun 1, 2023;37,385,491.50;21,305,186.00
Jun 1, 2023;Jul 1, 2023;36,658,432.00;22,007,512.75
Jul 1, 2023;Aug 1, 2023;35,991,293.00;17,979,623.00
Aug 1, 2023;Sep 1, 2023;35,218,925.25;21,674,587.00
Sep 1, 2023;Oct 1, 2023;34,676,721.50;21,497,991.25
Oct 1, 2023;Nov 1, 2023;37,560,791.00;20,198,840.50
Nov 1, 2023;Dec 1, 2023;39,378,702.25;21,507,919.75
Dec 1, 2023;Jan 1, 2024;40,324,501.00;20,242,106.00
Jan 1, 2024;Feb 1, 2024;42,395,112.50;22,262,992.25
Feb 1, 2024;Mar 1, 2024;39,436,847.25;20,547,024.75
Mar 1, 2024;Apr 1, 2024;39,837,070.25;23,050,650.25
Apr 1, 2024;May 1, 2024;37,500,829.50;19,121,275.00
May 1, 2024;Jun 1, 2024;37,299,824.50;20,552,237.25
Jun 1, 2024;Jul 1, 2024;36,721,914.25;20,564,249.50
